"","Station.Name","lat","lon","fcc.url","getURL"
"47","BRIGHTON POLICE DEPT",43.1270224,-77.5756162,"http://data.fcc.gov/api/block/find?latitude=43.1270224&longitude=-77.5756162&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""122""><Block FIPS=""360550128002001""/><County FIPS=""36055"" name=""Monroe""/><State FIPS=""36"" code=""NY"" name=""New York""/></Response>"
"48","BRILLIANT POLICE DEPT",34.0240692,-87.7618484,"http://data.fcc.gov/api/block/find?latitude=34.0240692&longitude=-87.7618484&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""139""><Block FIPS=""010939645003078""/><County FIPS=""01093"" name=""Marion""/><State FIPS=""01"" code=""AL"" name=""Alabama""/></Response>"
"49","BROOKWOOD POLICE DEPT",33.2549598,-87.3316887,"http://data.fcc.gov/api/block/find?latitude=33.2549598&longitude=-87.3316887&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""185""><Block FIPS=""011250106012023""/><County FIPS=""01125"" name=""Tuscaloosa""/><State FIPS=""01"" code=""AL"" name=""Alabama""/></Response>"
"50","BULLOCK COUNTY SHERIFF DEPT",32.1453764,-85.716158,"http://data.fcc.gov/api/block/find?latitude=32.1453764&longitude=-85.716158&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""207""><Block FIPS=""010119522003076""/><County FIPS=""01011"" name=""Bullock""/><State FIPS=""01"" code=""AL"" name=""Alabama""/></Response>"
"51","BUTLER COUNTY SHERIFF DEPT",32.0861751,-88.2214746,"http://data.fcc.gov/api/block/find?latitude=32.0861751&longitude=-88.2214746&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""177""><Block FIPS=""010239568003023""/><County FIPS=""01023"" name=""Choctaw""/><State FIPS=""01"" code=""AL"" name=""Alabama""/></Response>"
"52","BUTLER POLICE DEPT",41.4307132,-84.8712623,"http://data.fcc.gov/api/block/find?latitude=41.4307132&longitude=-84.8712623&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""183""><Block FIPS=""180330203002025""/><County FIPS=""18033"" name=""DeKalb""/><State FIPS=""18"" code=""IN"" name=""Indiana""/></Response>"
"53","CALERA POLICE DEPT",33.9345963,-96.4287013,"http://data.fcc.gov/api/block/find?latitude=33.9345963&longitude=-96.4287013&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""219""><Block FIPS=""400137960023059""/><County FIPS=""40013"" name=""Bryan""/><State FIPS=""40"" code=""OK"" name=""Oklahoma""/></Response>"
"54","CALHOUN CO SHERIFF DEPT",42.2707944,-84.9636634,"http://data.fcc.gov/api/block/find?latitude=42.2707944&longitude=-84.9636634&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""134""><Block FIPS=""260250040002024""/><County FIPS=""26025"" name=""Calhoun""/><State FIPS=""26"" code=""MI"" name=""Michigan""/></Response>"
"55","CARROLLTON POLICE DEPT",32.9764615,-96.8868802,"http://data.fcc.gov/api/block/find?latitude=32.9764615&longitude=-96.8868802&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""171""><Block FIPS=""481130137201017""/><County FIPS=""48113"" name=""Dallas""/><State FIPS=""48"" code=""TX"" name=""Texas""/></Response>"
"56","CEDAR BLUFF POLICE DEPT",34.2230432,-85.6079821,"http://data.fcc.gov/api/block/find?latitude=34.2230432&longitude=-85.6079821&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""82""><Block FIPS=""010199557011035""/><County FIPS=""01019"" name=""Cherokee""/><State FIPS=""01"" code=""AL"" name=""Alabama""/></Response>"
